id,phdr_in_vivo_result_id,phdr_clinical_trial_id
EBR_10:C-WORTHY,EBR_10,C-WORTHY
EBR_110:C-WORTHY,EBR_110,C-WORTHY
EBR_111:C-WORTHY,EBR_111,C-WORTHY
EBR_112:C-WORTHY,EBR_112,C-WORTHY
EBR_113:C-WORTHY,EBR_113,C-WORTHY
EBR_114:C-WORTHY,EBR_114,C-WORTHY
EBR_115:C-WORTHY,EBR_115,C-WORTHY
EBR_116:C-WORTHY,EBR_116,C-WORTHY
EBR_117:C-WORTHY,EBR_117,C-WORTHY
EBR_118:C-WORTHY,EBR_118,C-WORTHY
EBR_11:C-WORTHY,EBR_11,C-WORTHY
EBR_123:C-SURFER,EBR_123,C-SURFER
EBR_124:C-SURFER,EBR_124,C-SURFER
EBR_125:C-SURFER,EBR_125,C-SURFER
EBR_126:C-SURFER,EBR_126,C-SURFER
EBR_127:C-SURFER,EBR_127,C-SURFER
EBR_128:C-WORTHY Part D,EBR_128,C-WORTHY Part D
EBR_129:C-WORTHY Part D,EBR_129,C-WORTHY Part D
EBR_130:C-WORTHY Part D,EBR_130,C-WORTHY Part D
EBR_131:C-WORTHY Part D,EBR_131,C-WORTHY Part D
EBR_132:C-WORTHY Part D,EBR_132,C-WORTHY Part D
EBR_133:C-WORTHY Part D,EBR_133,C-WORTHY Part D
EBR_134:C-WORTHY Part D,EBR_134,C-WORTHY Part D
EBR_135:C-WORTHY Part D,EBR_135,C-WORTHY Part D
EBR_176:C-ISLE,EBR_176,C-ISLE
EBR_177:Swiss HCVree,EBR_177,Swiss HCVree
EBR_178:Swiss HCVree,EBR_178,Swiss HCVree
EBR_179:C-CORAL,EBR_179,C-CORAL
EBR_179:C-EDGE CO-INFECTION,EBR_179,C-EDGE CO-INFECTION
EBR_179:C-EDGE CO-STAR,EBR_179,C-EDGE CO-STAR
EBR_179:C-EDGE Head-2-head,EBR_179,C-EDGE Head-2-head
EBR_179:C-EDGE IBLD,EBR_179,C-EDGE IBLD
EBR_179:C-EDGE TE,EBR_179,C-EDGE TE
EBR_179:C-EDGE TN,EBR_179,C-EDGE TN
EBR_179:C-SCAPE,EBR_179,C-SCAPE
EBR_180:C-CORAL,EBR_180,C-CORAL
EBR_180:C-EDGE CO-INFECTION,EBR_180,C-EDGE CO-INFECTION
EBR_180:C-EDGE CO-STAR,EBR_180,C-EDGE CO-STAR
EBR_180:C-EDGE Head-2-head,EBR_180,C-EDGE Head-2-head
EBR_180:C-EDGE IBLD,EBR_180,C-EDGE IBLD
EBR_180:C-EDGE TE,EBR_180,C-EDGE TE
EBR_180:C-EDGE TN,EBR_180,C-EDGE TN
EBR_180:C-SCAPE,EBR_180,C-SCAPE
EBR_181:C-CORAL,EBR_181,C-CORAL
EBR_181:C-EDGE CO-INFECTION,EBR_181,C-EDGE CO-INFECTION
EBR_181:C-EDGE CO-STAR,EBR_181,C-EDGE CO-STAR
EBR_181:C-EDGE Head-2-head,EBR_181,C-EDGE Head-2-head
EBR_181:C-EDGE IBLD,EBR_181,C-EDGE IBLD
EBR_181:C-EDGE TE,EBR_181,C-EDGE TE
EBR_181:C-EDGE TN,EBR_181,C-EDGE TN
EBR_181:C-SCAPE,EBR_181,C-SCAPE
EBR_182:C-CORAL,EBR_182,C-CORAL
EBR_182:C-EDGE CO-INFECTION,EBR_182,C-EDGE CO-INFECTION
EBR_182:C-EDGE CO-STAR,EBR_182,C-EDGE CO-STAR
EBR_182:C-EDGE Head-2-head,EBR_182,C-EDGE Head-2-head
EBR_182:C-EDGE IBLD,EBR_182,C-EDGE IBLD
EBR_182:C-EDGE TE,EBR_182,C-EDGE TE
EBR_182:C-EDGE TN,EBR_182,C-EDGE TN
EBR_182:C-SCAPE,EBR_182,C-SCAPE
EBR_183:C-EDGE CO-STAR,EBR_183,C-EDGE CO-STAR
EBR_1:C-WORTHY,EBR_1,C-WORTHY
EBR_2:C-WORTHY,EBR_2,C-WORTHY
EBR_32:C-SALVAGE,EBR_32,C-SALVAGE
EBR_33:C-SALVAGE,EBR_33,C-SALVAGE
EBR_34:C-SALVAGE,EBR_34,C-SALVAGE
EBR_35:C-SALVAGE,EBR_35,C-SALVAGE
EBR_36:C-SALVAGE,EBR_36,C-SALVAGE
EBR_3:C-WORTHY,EBR_3,C-WORTHY
EBR_4:C-WORTHY,EBR_4,C-WORTHY
EBR_59:C-EDGE CO-INFECTION,EBR_59,C-EDGE CO-INFECTION
EBR_59:C-EDGE TE,EBR_59,C-EDGE TE
EBR_59:C-EDGE TN,EBR_59,C-EDGE TN
EBR_59:C-SALVAGE,EBR_59,C-SALVAGE
EBR_59:C-SURFER,EBR_59,C-SURFER
EBR_59:C-WORTHY,EBR_59,C-WORTHY
EBR_5:C-WORTHY,EBR_5,C-WORTHY
EBR_61:C-EDGE CO-INFECTION,EBR_61,C-EDGE CO-INFECTION
EBR_61:C-EDGE TE,EBR_61,C-EDGE TE
EBR_61:C-EDGE TN,EBR_61,C-EDGE TN
EBR_61:C-SALVAGE,EBR_61,C-SALVAGE
EBR_61:C-SURFER,EBR_61,C-SURFER
EBR_61:C-WORTHY,EBR_61,C-WORTHY
