id,phdr_in_vivo_result_id,phdr_regimen_id
DCV_70:DCV_mono,DCV_70,DCV_mono
DCV_71:DCV_mono,DCV_71,DCV_mono
DCV_88:DCV_ASV,DCV_88,DCV_ASV
DCV_88:DCV_ASV_PR,DCV_88,DCV_ASV_PR
DCV_89:DCV_ASV,DCV_89,DCV_ASV
DCV_89:DCV_ASV_PR,DCV_89,DCV_ASV_PR
DCV_90:DCV_ASV,DCV_90,DCV_ASV
DCV_90:DCV_ASV_PR,DCV_90,DCV_ASV_PR
DCV_91:DCV_ASV,DCV_91,DCV_ASV
DCV_91:DCV_ASV_PR,DCV_91,DCV_ASV_PR
DCV_92:DCV_ASV,DCV_92,DCV_ASV
DCV_92:DCV_ASV_PR,DCV_92,DCV_ASV_PR
DCV_93:DCV_ASV,DCV_93,DCV_ASV
DCV_93:DCV_ASV_PR,DCV_93,DCV_ASV_PR
DSV_10:PTV_r_OBV_DSV,DSV_10,PTV_r_OBV_DSV
DSV_10:PTV_r_OBV_DSV_RBV,DSV_10,PTV_r_OBV_DSV_RBV
DSV_11:PTV_r_OBV_DSV,DSV_11,PTV_r_OBV_DSV
DSV_11:PTV_r_OBV_DSV_RBV,DSV_11,PTV_r_OBV_DSV_RBV
DSV_12:PTV_r_OBV_DSV,DSV_12,PTV_r_OBV_DSV
DSV_13:PTV_r_OBV_DSV,DSV_13,PTV_r_OBV_DSV
DSV_13:PTV_r_OBV_DSV_RBV,DSV_13,PTV_r_OBV_DSV_RBV
DSV_14:PTV_r_OBV_DSV_RBV,DSV_14,PTV_r_OBV_DSV_RBV
DSV_15:PTV_r_OBV_DSV_RBV,DSV_15,PTV_r_OBV_DSV_RBV
DSV_16:PTV_r_OBV_DSV_RBV,DSV_16,PTV_r_OBV_DSV_RBV
DSV_17:PTV_r_OBV_DSV,DSV_17,PTV_r_OBV_DSV
DSV_18:PTV_r_OBV_DSV,DSV_18,PTV_r_OBV_DSV
DSV_1:PTV_r_OBV_DSV,DSV_1,PTV_r_OBV_DSV
DSV_22:PTV_r_OBV_DSV,DSV_22,PTV_r_OBV_DSV
DSV_2:PTV_r_OBV_DSV,DSV_2,PTV_r_OBV_DSV
DSV_3:PTV_r_OBV_DSV,DSV_3,PTV_r_OBV_DSV
DSV_3:PTV_r_OBV_DSV_RBV,DSV_3,PTV_r_OBV_DSV_RBV
DSV_45:PTV_r_OBV_DSV_RBV,DSV_45,PTV_r_OBV_DSV_RBV
DSV_4:PTV_r_OBV_DSV,DSV_4,PTV_r_OBV_DSV
DSV_4:PTV_r_OBV_DSV_RBV,DSV_4,PTV_r_OBV_DSV_RBV
DSV_5:PTV_r_OBV_DSV,DSV_5,PTV_r_OBV_DSV
DSV_5:PTV_r_OBV_DSV_RBV,DSV_5,PTV_r_OBV_DSV_RBV
DSV_6:PTV_r_OBV_DSV,DSV_6,PTV_r_OBV_DSV
DSV_6:PTV_r_OBV_DSV_RBV,DSV_6,PTV_r_OBV_DSV_RBV
DSV_7:PTV_r_OBV_DSV,DSV_7,PTV_r_OBV_DSV
DSV_7:PTV_r_OBV_DSV_RBV,DSV_7,PTV_r_OBV_DSV_RBV
DSV_8:PTV_r_OBV_DSV,DSV_8,PTV_r_OBV_DSV
DSV_8:PTV_r_OBV_DSV_RBV,DSV_8,PTV_r_OBV_DSV_RBV
DSV_9:PTV_r_OBV_DSV,DSV_9,PTV_r_OBV_DSV
DSV_9:PTV_r_OBV_DSV_RBV,DSV_9,PTV_r_OBV_DSV_RBV
EBR_100:EBR_GZR,EBR_100,EBR_GZR
EBR_100:EBR_GZR_RBV,EBR_100,EBR_GZR_RBV
EBR_101:EBR_GZR,EBR_101,EBR_GZR
EBR_101:EBR_GZR_RBV,EBR_101,EBR_GZR_RBV
EBR_102:EBR_GZR,EBR_102,EBR_GZR
EBR_102:EBR_GZR_RBV,EBR_102,EBR_GZR_RBV
EBR_103:EBR_GZR,EBR_103,EBR_GZR
EBR_103:EBR_GZR_RBV,EBR_103,EBR_GZR_RBV
EBR_104:EBR_GZR,EBR_104,EBR_GZR
EBR_104:EBR_GZR_RBV,EBR_104,EBR_GZR_RBV
EBR_105:EBR_GZR,EBR_105,EBR_GZR
EBR_105:EBR_GZR_RBV,EBR_105,EBR_GZR_RBV
EBR_106:EBR_GZR,EBR_106,EBR_GZR
EBR_106:EBR_GZR_RBV,EBR_106,EBR_GZR_RBV
EBR_107:EBR_GZR,EBR_107,EBR_GZR
EBR_107:EBR_GZR_RBV,EBR_107,EBR_GZR_RBV
EBR_108:EBR_GZR,EBR_108,EBR_GZR
EBR_108:EBR_GZR_RBV,EBR_108,EBR_GZR_RBV
EBR_109:EBR_GZR,EBR_109,EBR_GZR
EBR_109:EBR_GZR_RBV,EBR_109,EBR_GZR_RBV
EBR_10:EBR_GZR,EBR_10,EBR_GZR
EBR_10:EBR_GZR_RBV,EBR_10,EBR_GZR_RBV
EBR_110:EBR_GZR,EBR_110,EBR_GZR
EBR_110:EBR_GZR_RBV,EBR_110,EBR_GZR_RBV
EBR_111:EBR_GZR,EBR_111,EBR_GZR
EBR_111:EBR_GZR_RBV,EBR_111,EBR_GZR_RBV
EBR_112:EBR_GZR,EBR_112,EBR_GZR
EBR_112:EBR_GZR_RBV,EBR_112,EBR_GZR_RBV
EBR_113:EBR_GZR,EBR_113,EBR_GZR
EBR_113:EBR_GZR_RBV,EBR_113,EBR_GZR_RBV
EBR_114:EBR_GZR,EBR_114,EBR_GZR
EBR_114:EBR_GZR_RBV,EBR_114,EBR_GZR_RBV
EBR_115:EBR_GZR,EBR_115,EBR_GZR
EBR_115:EBR_GZR_RBV,EBR_115,EBR_GZR_RBV
EBR_116:EBR_GZR,EBR_116,EBR_GZR
EBR_116:EBR_GZR_RBV,EBR_116,EBR_GZR_RBV
EBR_117:EBR_GZR,EBR_117,EBR_GZR
EBR_117:EBR_GZR_RBV,EBR_117,EBR_GZR_RBV
EBR_118:EBR_GZR,EBR_118,EBR_GZR
EBR_118:EBR_GZR_RBV,EBR_118,EBR_GZR_RBV
EBR_11:EBR_GZR,EBR_11,EBR_GZR
EBR_11:EBR_GZR_RBV,EBR_11,EBR_GZR_RBV
EBR_123:EBR_GZR,EBR_123,EBR_GZR
EBR_124:EBR_GZR,EBR_124,EBR_GZR
EBR_125:EBR_GZR,EBR_125,EBR_GZR
EBR_126:EBR_GZR,EBR_126,EBR_GZR
EBR_127:EBR_GZR,EBR_127,EBR_GZR
EBR_128:EBR_GZR_RBV,EBR_128,EBR_GZR_RBV
EBR_129:EBR_GZR_RBV,EBR_129,EBR_GZR_RBV
EBR_130:EBR_GZR_RBV,EBR_130,EBR_GZR_RBV
EBR_131:EBR_GZR_RBV,EBR_131,EBR_GZR_RBV
EBR_132:EBR_GZR_RBV,EBR_132,EBR_GZR_RBV
EBR_133:EBR_GZR_RBV,EBR_133,EBR_GZR_RBV
EBR_134:EBR_GZR_RBV,EBR_134,EBR_GZR_RBV
EBR_135:EBR_GZR_RBV,EBR_135,EBR_GZR_RBV
EBR_176:EBR_GZR_SOF,EBR_176,EBR_GZR_SOF
EBR_177:EBR_GZR,EBR_177,EBR_GZR
EBR_178:EBR_GZR,EBR_178,EBR_GZR
EBR_179:EBR_GZR,EBR_179,EBR_GZR
EBR_180:EBR_GZR,EBR_180,EBR_GZR
EBR_181:EBR_GZR,EBR_181,EBR_GZR
EBR_182:EBR_GZR,EBR_182,EBR_GZR
EBR_183:EBR_GZR,EBR_183,EBR_GZR
EBR_194:EBR_GZR,EBR_194,EBR_GZR
EBR_1:EBR_GZR,EBR_1,EBR_GZR
EBR_1:EBR_GZR_RBV,EBR_1,EBR_GZR_RBV
EBR_2:EBR_GZR,EBR_2,EBR_GZR
EBR_2:EBR_GZR_RBV,EBR_2,EBR_GZR_RBV
EBR_32:EBR_GZR_RBV,EBR_32,EBR_GZR_RBV
EBR_33:EBR_GZR_RBV,EBR_33,EBR_GZR_RBV
EBR_34:EBR_GZR_RBV,EBR_34,EBR_GZR_RBV
EBR_35:EBR_GZR_RBV,EBR_35,EBR_GZR_RBV
